incident_date,incident_location,incident_description,offender_info,user_reaction,evidence,incident_type
2024-09-01,도서관,따라오며 위협감을 주었습니다.,송 모 이웃주민,사진/동영상 증거를 확보함,주변 상점 CCTV,일반 괴롭힘
2024-02-01,회식 장소,부적절한 신체 접촉을 시도했습니다.,신 모 사원,문제제기하고 사과를 요구함,사내 CCTV 영상,직장 내 괴롭힘
2024-08-29,계단,업무 시간 외 지속적으로 연락을 시도했습니다.,최 모 대리,거절 의사를 분명히 표현함,업무 이메일 내역,직장 내 괴롭힘
2024-02-27,회식 장소,회의 중 반복적으로 비하성 발언을 했습니다.,임 모 차장,노동조합에 도움을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-03-24,휴게실,강제로 술을 권하며 불쾌한 행동을 했습니다.,강 모 거래처 직원,다른 동료들과 함께 퇴근함,업무 이메일 내역,직장 내 괴롭힘
2024-07-07,카페테리아,업무와 무관한 사생활에 대해 질문하고 간섭했습니다.,송 모 계약직,문제제기하고 사과를 요구함,동료들의 진술서,직장 내 괴롭힘
2024-02-13,수영장,반복적으로 시선을 강요했습니다.,박 모 온라인 지인,방범대/경비실에 신고함,112 신고 기록,일반 괴롭힘
2024-04-01,지하철,고의적으로 밀치거나 충돌했습니다.,권 모 배달원,방범대/경비실에 신고함,목격자 증언,일반 괴롭힘
2024-10-28,복도,부적절한 신체 접촉을 시도했습니다.,안 모 계약직,거절 의사를 분명히 표현함,사내 CCTV 영상,직장 내 괴롭힘
2024-05-12,회식 장소,외모에 대한 부적절한 발언을 했습니다.,신 모 계약직,회사 내 고충처리절차를 진행함,동료들의 진술서,직장 내 괴롭힘
2024-01-31,도서관,반복적으로 접근을 시도했습니다.,최 모 이웃주민,사진/동영상 증거를 확보함,블랙박스 영상,일반 괴롭힘
2024-08-18,아파트 복도,불필요한 신체 접촉을 시도했습니다.,류 모 집주인,112에 신고하고 대기함,112 신고 기록,일반 괴롭힘
2024-02-24,카페테리아,부적절한 신체 접촉을 시도했습니다.,송 모 인턴,자리를 피해 즉시 귀가함,회사 출입 기록,직장 내 괴롭힘
2024-12-16,아파트 엘리베이터,지속적으로 쳐다보며 불쾌감을 주었습니다.,정 모 전 연인,경찰에 신고함,주변 상점 CCTV,일반 괴롭힘
2024-08-16,주택가 골목길,지속적으로 쳐다보며 불쾌감을 주었습니다.,안 모 전 직장동료,주변에 도움을 요청함,공공장소 CCTV 영상,일반 괴롭힘
2024-02-06,엘리베이터,성차별적 발언으로 불쾌감을 주었습니다.,황 모 외부 강사,불편함을 표시하고 상사에게 보고함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-10-09,야유회 장소,업무 시간 외 지속적으로 연락을 시도했습니다.,강 모 거래처 직원,직장 내 상담센터에 상담을 요청함,업무용 메신저 대화 내역,직장 내 괴롭힘
2024-10-24,버스,반복적으로 시선을 강요했습니다.,정 모 매장직원,방범대/경비실에 신고함,SNS 메시지 캡처,일반 괴롭힘
2024-11-12,아파트 주차장,반복적으로 접근을 시도했습니다.,신 모 집주인,즉시 자리를 피해 안전한 곳으로 이동함,목격자 연락처,일반 괴롭힘
2024-07-21,사내 주차장,회의 중 반복적으로 비하성 발언을 했습니다.,이 모 차장,직장 내 상담센터에 상담을 요청함,사내 보안카메라 영상,직장 내 괴롭힘
